Distance_(cm),Gray_Value
0.00000,0.32396
0.00855,0.44182
0.01709,0.70187
0.02564,1.26521
0.03419,2.07856
0.04274,2.59456
0.05128,2.83850
0.05983,3.01900
0.06838,3.00769
0.07692,2.91486
0.08547,2.78121
0.09402,2.56113
0.10256,2.15867
0.11111,1.59649
0.11966,0.98581
0.12821,0.67020
0.13675,0.49126
0.14530,0.36314
0.15385,0.27945
0.16239,0.25091
0.17094,0.22714
0.17949,0.24010
0.18803,0.23395
0.19658,0.23013
0.20513,0.23393
0.21368,0.22856
0.22222,0.23552
0.23077,0.23701
0.23932,0.23776
0.24786,0.24166
0.25641,0.22177
0.26496,0.25977
0.27350,0.34719
0.28205,0.48187
0.29060,0.89335
0.29915,1.63345
0.30769,2.28357
0.31624,2.66823
0.32479,2.89971
0.33333,3.05920
0.34188,3.07676
0.35043,2.94957
0.35897,2.63771
0.36752,2.22798
0.37607,1.89666
0.38462,1.53258
0.39316,1.06504
0.40171,0.64366
0.41026,0.41394
0.41880,0.32954
0.42735,0.28528
0.43590,0.27107
0.44444,0.25170
0.45299,0.24470
0.46154,0.24239
0.47009,0.25396
0.47863,0.24015
0.48718,0.23320
0.49573,0.26191
0.50427,0.30727
0.51282,0.41238
0.52137,0.70528
0.52991,1.31000
0.53846,1.95291
0.54701,2.40393
0.55556,2.80415
0.56410,2.98798
0.57265,3.08798
0.58120,3.03200
0.58974,2.86153
0.59829,2.56370
0.60684,2.11119
0.61538,1.62947
0.62393,1.15322
0.63248,0.69090
0.64103,0.41555
0.64957,0.33075
0.65812,0.29398
0.66667,0.28195
0.67521,0.24782
0.68376,0.24318
0.69231,0.23244
0.70085,0.23854
0.70940,0.23700
0.71795,0.24548
0.72650,0.23161
0.73504,0.24237
0.74359,0.24781
0.75214,0.24320
0.76068,0.24789
0.76923,0.25251
0.77778,0.27037
0.78632,0.30713
0.79487,0.34858
0.80342,0.41556
0.81197,0.56372
0.82051,0.96673
0.82906,1.68535
0.83761,2.26086
0.84615,2.59762
0.85470,2.83663
0.86325,2.98096
0.87179,3.06333
0.88034,3.06279
0.88889,2.92906
0.89744,2.71045
0.90598,2.36259
0.91453,1.74840
0.92308,1.02661
0.93162,0.57559
0.94017,0.40188
0.94872,0.31848
0.95726,0.26795
0.96581,0.25639
0.97436,0.25170
0.98291,0.23708
0.99145,0.25170
1.00000,0.26338
1.00855,0.26805
1.01709,0.29313
1.02564,0.33203
1.03419,0.39761
1.04274,0.61207
1.05128,1.17248
1.05983,1.89809
1.06838,2.41710
1.07692,2.72398
1.08547,2.88597
1.09402,2.98292
1.10256,2.99620
1.11111,2.94731
1.11966,2.79222
1.12821,2.53962
1.13675,2.14233
1.14530,1.47968
1.15385,0.81907
